cod_provin,provincia,cod_canton,canton,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020
3,Cartago,307,Oreamuno,5,5,5,4,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3,1,3,3,4,4,4,4,5,5,5,5,5,6,5,6,7,7,7,9,10,10,9,10
3,Cartago,302,Paraíso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,6
3,Cartago,305,Turrialba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,3
4,Heredia,402,Barva,7,7,7,7,7,7,6,6,6,5,4,4,4,4,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,5,5,5,5,2,4,6,6,6,6,6,6,4,5,10,12,15,15,19,21,22,22,20,22,24,24,25,28
4,Heredia,407,Belén,3,3,3,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,6,6,9,9,9,9,10,10,11,9,11,12,12,14,16,16,19,24,17,17,18,19,20,23,29,31,31,31,31,26
4,Heredia,408,Flores,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,4,4,4,4,5,6,7,8,8,9,9,10,10,13,15,15,17,18,20
4,Heredia,401,Heredia,13,13,11,11,11,10,9,9,8,7,7,7,9,9,21,21,21,19,19,18,17,17,21,29,29,28,28,28,28,29,29,28,28,28,28,28,28,28,28,29,29,31,32,33,36,40,43,43,42,42,50,55,61,62,64,69,77,78,83,79,82,89,92,96,99,103,107,107,112,118,118,126,146,154,177,181,192,202,219,246
4,Heredia,406,San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,6,7,9,11,12,14,14,14,16,19,24
4,Heredia,409,San Pablo,8,7,7,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,4,8,8,8,9,9,9,9,9,14,14,14,14,14,12,12,13,13,13,12,12,12,12,13,13,13,12,13,14,15,15,21,21,22,23,29,28
4,Heredia,405,San Rafael,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,3,3,2,2,2,4,4,5,6,6,4,8,9,13,13,14,15,15,15,16,11,11,12,12,14,15,16,20,22,28,33,36,41,43
4,Heredia,404,Santa Barbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,6,6,7,9,11,11,8,9,9,9,10,10,14,16,17,17,17,14,11,13
4,Heredia,403,Santo Domingo,6,6,5,5,5,5,5,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6,7,7,8,8,8,7,8,9,9,9,6,7,8,9,10,13,18,21,25,25,27,30,37
4,Heredia,410,Sarapiquí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,5,5,5,5,4,5,7,7,7,5,6,6,7,7,7,7,7,5,5,5,6,7,7,7,6,6,6,6,6,6,8,8,8,8,7,7,7
5,Guanacaste,507,Abangares,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,2,3,3,3,5,5,5,9,9,16,16,16,16,17,19,19,19,19,19,19,19,19,19,19,20,18,15,15,15,15,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,5
5,Guanacaste,504,Bagaces,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,3,3,4,4,4,4,5,5,7,7,8,8,9,9,9,9,9,10,13,13,13,13,10,10,7,7,7,7,5,5,5,4,4,5,5,6,8,8,10,10,10,14,15,14,14
5,Guanacaste,506,Cañas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,7,8,8,8,10,11,13,16,15,16,18,18,19,19,19,19,20,20,20,22,22,23,24,24,25,25,25,25,25,25,25,25,25,25,25,8,9,12,12,12,12,10,9,9,8,8,8,8,9,9,9,12,15,16,19,19,20,22
5,Guanacaste,505,Carrillo,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,6,7,7,5,5,5,6
